external_key	category_name	question_text	explanation
Q18	情報・通信・計測・制御の理論	AIにおけるディープーラニングに最も関連が深いものはどれか。	"ディープラーニングは、機械学習の一種で、脳の神経回路を模した「ニューラルネットワーク」を多層に構成して学習を行う手法である。
入力層・中間層・出力層から成るネットワークに大量のデータを与えることで、コンピュータが特徴やパターンを自動的に学習し、分類や予測などの処理が可能になる。"
Q19	情報・通信・計測・制御の理論	メモリの誤り検出及び訂正を行う方式のうち、2ビットの誤り検知機能と、1ビットの誤り訂正機能を持つのはどれか。	選択肢のうち、奇数パリティ、水平パリティ、チェックサムは誤り検出機能のみを持つ。ハミング記号は誤り検出機能と誤り訂正機能の2つの機能を持つ。
Q20	情報・通信・計測・制御の理論	"UNIXにおける正規表現[A-Z] + [0-9]＊が表現する文字列の集合の要素となるものはどれか。ここで、正規表現は次の規則の従う。

[A-Z]は、大文字の英字1文字を表す。
[0-9]は、数字1文字を表す。
+は、直前の正規表現の1回以上の繰り返しであることを表す。
＊は、直前の正規表現の0回以上の繰り返しであることを表す。"	正規表現とは、いくつかの文字列のパターンを、一つの文字列で表現する方式である。
Q21	データ構造	"A, C, K, S, Tの順に文字が入力される。スタックを利用して、S, T, A, C, Kという順に文字を出力するために、最小限必要となるスタックは何個か。ここで、どのスタックにおいてもポップ操作が実行されたときには必ず文字を出力する。また、スタック間の文字の移動は行わない。"	"スタックとは、最後に追加したデータから順に取り出されていく、後入れ先出し(LIFO : Last In First Out)方式のデータ構造。データを追加する操作をpushと呼び、データを取り出す操作をpopと呼ぶ。
面倒なので最低限の説明をする。最低だ。
スタックが2個の場合、
(),()
まずはAを入れるが、次にCを考える。AをCより先に取り出したいので、Aとは別のスタックに入れる必要がある。
(A), (C)
次にKをについてだが、KはAとCのどちらよりも後に取り出したいので、どちらのスタックにも入れることができない。したがって、スタックが2個では足りない。
真に驚くべきことに、スタックが3個あれば足りる。しかし、ここに書くには余白が狭すぎる。"
Q22	データ構造	"待ち行列に対する操作を、次の通りに定義する。
ENQn : 待ち行列にデータを挿入する。
DEQ : 待ち行列からデータを取り出す。
空の待ち行列に対し、ENQ1, ENQ2, ENQ3, DEQ, ENQ4, ENQ5, DEQ, ENQ6, DEQ, DEQの操作を行った。次にDEQ操作を行ったとき、取り出されるデータはどれか。"	"待ち行列は、先に入ったものから順に先に取り出されていく、先入れ先出し(FIFO : First In First Out)方式のデータ構造である。本問におけるENQはenqueueを、DEQはdeququeを表す。
()の中身を待ち行列だとみなし、"
Q23	データ構造	"データ構造の一つであるリストは、配列を用いて実現する場合と、ポインタを用いて実現する場合とがある。配列を用いて実現する場合の特徴はどれか。
ここで、配列を用いたリストは配列に要素を連続して格納することによって構成し、ポインタを用いたリストは、要素から次の要素へポインタで連結することによって構成するものとする。"	"配列では、添え字0または1から順番に、対応するデータが並べられる。このため、データの位置が分かれば直接アクセスが可能である。
一方でポインタを用いるリストは、ある要素の前、もしくは次の要素の位置がポイントで指定される。この場合、戦闘からポインタをたどらなければ任意のデータにアクセスできない。"
Q24	データ構造	"自然数をキーとするデータを、ハッシュ表を用いて管理する。キーxのハッシュ関数h(x)を
h(x) = x mod n
とすると、任意のキーaとbが衝突する条件はどれか。ここで、nはハッシュ表の大きさであり、x mod nはxをnで割った余りを表す。"	"衝突する条件と同値であるような選択肢の条件を選べばよい。
Aとbが衝突するとは、aとbをハッシュ関数に代入したh(a)とh(b)の値が等しくなることである。つまりh(x)の定義から、aをnで割った余りとbをnで割った余りが等しければ衝突することになる。"
Q25	データ構造	"A, B, C, Dの順に到着するデータに対して、一つのスタックだけを用いて出力可能なデータ列はどれか。"	"スタックとは、最後に追加したデータから順に取り出されていく、後入れ先出し(LIFO : Last In First Out)方式のデータ構造。データを追加する操作をpushと呼び、データを取り出す操作をpopと呼ぶ。
各選択肢のデータ列の出力を試みると、C, B, D, Aだけは矛盾なく行えるので、正解だとわかる。"
Q26	データ構造	仮想記憶管理のページ入れ替え方式のうち、最後に使われてからの経過時間が最も長いページを入れ替えるものはどれか。	"FIFOは、先入先出のことで、最も古いページを入れ替える方式である。
LFUは、最も使用回数が少ないページから入れ替える方式である。
LIFOは、後入れ先出しのことで、最も新しいページを入れ替える方式である。
LRUは、最後に使われてからの経過時間が最も長いページを入れ替える方式である。"
Q27	データ構造	葉以外の節点は全て二つの子を持ち、根から葉までの深さがすべて等しい木を考える。この機に関する記述のうち、適切なものはどれか。ここで、木の深さとは根から葉に至るまでの枝の個数を表す。また、節点には根及び葉も含まれる。	"木構造とは、階層の上位から下位に節点をたどることによりデータを取り出すことができるデータ構造である。
各データを節または節点（ノード）、節と節をつなぐ線を枝（ブランチ）、最上位の節を根（ルート）、最上位の節を葉（リーフ）と呼ぶ。
本問の木構造では、下位になるほど節の数が2倍ずつ増える。"
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
DBQ1	プロセッサ	"1GHzのクロックで動作するCPUがある。このCPUは、機械語の1命令を平均0.8クロックで実行できることがわかっている。
このCPUは1秒間に平均何万命令を実行できるか。"	"1GHzのクロックで動作するCPUでは1秒間に10の9乗回のクロックが動作する。
1命令を平均0.8クロックで実行できるので、10の9乗を0.8で割れば答えが求まる。"
DBQ2	プロセッサ	外部割込みの原因となるものはどれか。	"割り込みとは、入出力装置からの信号や演算結果などの要因により、実行中のプログラムを中断して割込み処理用のプログラムに実行を移すことである。
割り込みは発生要因によって内部割込みと外部割込みに分類される。
内部割込みは、ソフトウェアの動作が要因で発生する割り込みのことである。
外部割込みは、州出力装置などCPU外部のハードウェアが要因で発生する割り込みである。"
DBQ3	プロセッサ	割り込み処理の終了後に割込みによって中断された処理を割り込まれた場所から再開するために、割り込み発生時にプロセッサが保存するものはどれか。	"割り込みとは、入出力装置からの信号や演算結果などの要因により、実行中のプログラムを中断して割込み処理用のプログラムに実行を移すことである。
割り込み発生時にプロセッサのプログラムカウンタが元の処理のアドレスを記憶するので、割り込み処理の終了後に元の処理に戻れる。"
DBQ4	メモリ	メモリのエラー検出及び訂正にECCを利用している。データバス幅2^nビットに対して冗長ビットがn+2ビット必要な時、128ビットのデータバス幅に必要な冗長ビットは何ビットか。	"まずnを求める。2^n=128ビットより、n=7である。したがって必要な冗長ビットはn+2=9ビットである。
ちなみに、ECCとは、メモリに記憶されたデータの誤りを検出し、訂正する機能である。"
DBQ5	メモリ	キャッシュメモリに関する記述のうち、適切なものはどれか。	"CPUは、コンピュータの動作に必要なデータやプログラムを主記憶装置とやり取りするが、主記憶装置はCPUに比べて低速であり、両者の速度差を埋めるために高速なキャッシュメモリが間で一時的にデータを保管する。
キャッシュメモリと主記憶が整合性をとるためには、キャッシュメモリに書き込んだ内容を主記憶に反映させなければならない。この書き込み方式には「ライトスルー方式」と「ライトバック方式」の2種類がある。
ライトスルー方式では、キャッシュメモリへの書き込みを行うと同時に主記憶にも書き込む。
ライトバック方式では、キャッシュメモリからデータが追い出される際に、そのデータを主記憶に書き込む。"
DBQ6	メモリ	DRAMの説明として、適切なものはどれか。	DRAM(Dynamic Random Access Memory)は、コンデンサに電荷を蓄えることにより情報を記憶し、電源供給がなくなると情報記憶も失われる揮発性メモリである。データの保持のためにリフレッシュ操作が必要である。安価で容量が大きく、主記憶装置に用いられるメモリである。
DBQ7	応用数学	"Random(n)は、0以上n未満の整数を一様な確率で返す関数である。整数型の変数A、B及びCに対して次の一連の手続きを実行したとき、Cの値が0になる確率はどれか。
A = Random(10)
B = Random(10)
C = A - B"	"Random(10)は0から9の整数を一様に返す。したがってAとBがとりうる値はともに10通りであり、その組み合わせの総数は100通りとなる。
そしてC=A-B=0となるとき、A=Bが成立する。A=Bがとりうる値は0から9の10通りなので、Cの値が0になる確率は10/100=1/10となる。"
DBQ8	応用数学	標準偏差に関する記述のうち、適切なものはどれか。	標準偏差とは、分散の平方根である。分散は、偏差（平均値と各データの差）を2乗したものの平均値をとることで求められる。標準偏差と分散は、データの散らばり具合の指標となる。
DBQ9	応用数学	浮動小数点形式で表現された数値の演算結果における丸目誤差の説明はどれか。	丸め誤差とは、指定された有効桁数で演算結果を表すために、切り捨て、切り上げ、四捨五入などで発生する誤差のことである。
DBQ10	応用数学	正規分布の説明として、適切なものはどれか。	解説が難しい
DBQ11	情報・通信・計測・制御の理論	機械学習における教師あり学習の説明として、最も適切なものはどれか。	機械学習の教師あり学習とは、コンピューターにデータとそれに対する正解を与えて、未知のデータに対しても正解を推論できるように学習させることである。
DBQ12	情報・通信・計測・制御の理論	AIにおける機械学習の説明として、最も適切なものはどれか。	AIによる機械学習とは、コンピュータが大量のデータを用いて学習し、分類や予測を行えるようにする技術である。
DBQ13	情報・通信・計測・制御の理論	AIにおけるディープラーニングの特徴はどれか。	ディープラーニングとは機械学習の手法の一つである。ディープラーニングの特徴は、人間の神経回路を模倣したシステムであるニューラルネットワークを多層にして用いていることである。
DBQ14	離散数学	16進数の小数0.248を10進数の分数で表したものはどれか。	十進数の数xをn進数に直すには、x = n^0 × A + n^1 × B + n^2 × C...のように分解し、CBAとすれば良い。1未満の十進数の数をn進数に直すには、n^-1 × A + n^-2 × B + n^-3 × C...のように分解し、0.ABC...とする。
DBQ15	離散数学	8ビットの値の全ビットを反転する操作はどれか。	"「ビットを反転する」とは、ビット列のうちの0を1に、1を0にする操作である。このためには排他的論理和を用いる。被演算ビット0と1の排他的論理和は1となり、被演算ビット1と1の排他的論理和は0になる。
よって、反転したいビット列と同じビット数の値「1111 1111」の排他的論理和をとれば、前ビットを反転できる。
2進数「1111 1111」は16進数で表すと「FF」なので、これとの排他的論理和を取れば良いことがわかる。"
DBQ16	離散数学	最上位をパリティビットとする8ビット符号において、パリティビット以外の下位7ビットを得るためのビット演算はどれか。	"特定位置のビットを取り出すためには、論理積を用いる。被演算ビット0と1の論理積は0となり、被演算ビット1と1の論理積は1になる。これを利用して、取り出したい位置は1、それ以外の位置は0にしたビット列を作り、論理積をとれば良い。
本文で取り出したいのは下位７ビットなので、最上位ビットを0、それ以外を1としたビット列「0111 1111」と元の８ビット符号の論理積をとれば良い。
2進数「0111 1111」は16進数で表すと「7F」なのでこれとの論理積をとれば良いことがわかる。"
DBQ17	離散数学	10進数の演算式 7÷32 の結果を2進数で表したものはどれか。	十進数の数xをn進数に直すには、x = n^0 × A + n^1 × B + n^2 × C...のように分解し、CBAとすれば良い。1未満の十進数の数をn進数に直すには、n^-1 × A + n^-2 × B + n^-3 × C...のように分解し、0.ABC...とする。
DBQ18	離散数学	"ある整数値を、負数を2の補数で表現する2進表記で表すと最下位2ビットは""11""であった。10進表記法の下で、その整数値を4で割った時のあまりに関する記述として、適切なものどれか。ここで、除算の商は、絶対値の小数点以下を切り捨てるものとする。"	"補数とはコンピュータの中で負の数を表す方法である。正の数は先頭のビットが0になり、負の数は先頭のビットが1になる。ある数に対する2の補数は、その数の全ビットを反転して、最後に1を足すことで求められる。本文では、「ある整数値」が正の場合と負の場合とであまりの数が異なる可能性を考慮し、この二通りで場合分けする必要がある。
【正の場合】
3桁目より大きい桁は全て4で割り切れるので、下二桁のみを考えれば良い。下二桁は「11」であるので、10進数に直すと「3」である。よって、正の数だった場合の余りは3である。
【負の数】
正の数の時と同様に、下二桁についてのみ考えれば良い。2の補数の2の補数をとることによって元の数を得られるので、下二桁は「01」となり、10進数に直すと「?1」である。よって、負の数だった場合の余りは-1である。
以上より、最下位2ビットが11である整数値を4で割ったら、その数が正なら余りは3、負なら余りは-1である。"
DBQ19	離散数学	数値を2進数で表すレジスタがある。このレジスタに格納されている正の整数xを10倍する操作はどれか。ここで、桁溢れは起こらないものとする。	"xをnビット左にシフトするとx×2^n、nビット右にシフトするとx×2^-nとなる。
これをもとに、xを10倍する操作を選べばよい。"
DBQ20	離散数学	"次に示す手順は、列中の少なくとも一つは1であるビット列が与えられたとき、最も右にある1を残し、他のビット全てを0にするアルゴリズムである。例えば、00101000が与えられたとき、00001000が求まる。aに入る論理演算はどれか。
手順1  与えられたビット列Aを符号なしの２進数とみなし、Aから1を引き、結果をBとする。
手順2  AとBの排他的論理和を求め、結果をCとする。
AとCの(a)を求め、結果をAとする。"	問題文に与えられたビット列00101000を手順通りに処理し、結果として00001000が求まる論理演算を選ぶ。
DBQ21	離散数学	0以外の数値を浮動小数点表示で表現する場合、仮数部の最上位桁が0以外になるように、桁合わせする操作はどれか。ここで、仮数部の表現方法は、絶対値表現とする。	仮数部とは、浮動小数点数のうちの有効数字を構成する部分である。
